,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Artist,ltable_Genre,rtable_Title,rtable_Artist,rtable_Genre,Match
80,80,169,2,reputation [CD],Taylor Swift,Pop,reputation,Taylor Swift,"Pop,Adult Contemporary,Pop/Rock,Dance-Pop,Teen Pop",1
81,81,912,2,reputation [Picture Disc] [2 LP] [LP] - VINYL,Taylor Swift,Pop,reputation,Taylor Swift,"Pop,Adult Contemporary,Pop/Rock,Dance-Pop,Teen Pop",1
88,88,516,5,Unapologetically [CD],Kelsea Ballerini,Country,Unapologetically,Kelsea Ballerini,"Pop,Country,Pop/Rock,Contemporary Country,Country-Pop",1
135,135,2304,8, The Neighbourhood [CD],The Neighbourhood,Electronic/Dance,The Neighbourhood,The Neighbourhood,"Pop,Electronic,Pop/Rock,Contemporary Pop/Rock,Left-Field Pop,Synthwave",1
155,155,1318,10,Thank You [CD],Meghan Trainor,Pop,Thank You,Meghan Trainor,"Pop,Pop/Rock,Dance-Pop,Teen Pop,Contemporary Pop/Rock",1
167,167,2188,10,Thank You [Deluxe Edition] [CD],Meghan Trainor,Pop,Thank You,Meghan Trainor,"Pop,Pop/Rock,Dance-Pop,Teen Pop,Contemporary Pop/Rock",1
306,306,2696,18,Mad Love [CD] [PA],JoJo,Pop,Mad Love,JoJo,"Pop,Pop/Rock,Dance-Pop",1
330,330,4357,18,Mad Love [CD],JoJo,Pop,Mad Love,JoJo,"Pop,Pop/Rock,Dance-Pop",1
347,347,3686,22,So Good [CD] [PA],Zara Larsson,Electronic/Dance,So Good,Zara Larsson,"Pop,Electronic,Pop/Rock,Dance-Pop",1
609,609,733,31,Revival [CD],Selena Gomez,Pop,Revival,Selena Gomez,"Pop,Pop/Rock,Dance-Pop,Club/Dance",1
652,652,3782,36,Sounds Good Feels Good [CD],5 Seconds of Summer,Pop,Sounds Good Feels Good,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",1
670,670,274,37,A Fever You Can't Sweat Out [CD],Panic! At the Disco,Pop,Wiped Out!,The Neighbourhood,"Pop,Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Left-Field Pop",0
686,686,3694,37,Fever You Can't Sweat Out [LP] - VINYL,Panic! At the Disco,Pop,Wiped Out!,The Neighbourhood,"Pop,Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Left-Field Pop",0
692,692,1316,38,Purpose [CD],Justin Bieber,Pop,Purpose,Justin Bieber,"Pop,Pop/Rock,Dance-Pop",1
694,694,3351,38,Purpose [LP] - VINYL,Justin Bieber,Pop,Purpose,Justin Bieber,"Pop,Pop/Rock,Dance-Pop",1
743,743,2057,44,This Is Acting [Deluxe Edition] [CD],Sia,Pop,This Is Acting,Sia,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Left-Field Pop",0
744,744,3250,44,This Is Acting [CD],Sia,Pop,This Is Acting,Sia,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Left-Field Pop",1
1578,1578,1295,48,Lukas Graham [CD],Lukas Graham,Pop,Lukas Graham,Lukas Graham,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock",1
2566,2566,1124,65,The Resistance [Deluxe Edition] [CD],Crown the Empire,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2574,2574,1543,65,Sticky Fingers [Deluxe Edition] [CD],The Rolling Stones,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2580,2580,1850,65,Pure [Deluxe Remastered Reissue] [LP] - VINYL,The Jesus Lizard,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2602,2602,3276,65,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition Deluxe Version] [CD & DVD],The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2605,2605,3291,65,Sports! [30th Anniversary Deluxe Edition] [CD],Huey Lewis & the News,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2609,2609,3458,65,Special Beat Service [Deluxe Edition] [CD & DVD],The English Beat,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2616,2616,3945,65,Strange Days [Deluxe Edition] [CD],The Doors,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2634,2634,239,65,Doors [50th Anniversary Remastered Edition] [1CD] [CD],The Doors,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2635,2635,246,65,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition] [LP] - VINYL,The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2637,2637,259,65,Heartbeat City [Expanded Edition] [CD],The Cars,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2638,2638,428,65,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition 2 CD] [CD],The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2640,2640,507,65,Abbey Road [Limited Edition] [2009 Remaster] [Enhanced CD],The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2641,2641,512,65,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition] [CD],The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
